team number,nickname,rookie year,full name,Nasa?,city,region,country,motto,# of events,event codes,event names
848,ROBOHUSKIES,2002,The Boeing Company/MDA Information Systems/Roncelli Plastics/Conoco Phillips & Rolling Hills Prep School,,San Pedro,California,USA,Teamwork makes the robot work,1,['2016calb'],['Los Angeles Regional']
852,The Athenian Robotics Collective,2002,Abbott Laboratories / GoPro / SolidWorks / Shane's Water Cutting / Ray McKenzie-Wilson / Eldridge Family / Braddock & Logan & the Athenian School,,Danville,California,USA,What can I do to help?,2,"['2016cada', '2016casj']","['Sacramento Regional', 'Silicon Valley Regional presented by Google.org']"
854,The Iron Bears,2002,TDSB & Martingrove Collegiate Institute & Martingrove CI,,Toronto,Ontario,Canada,,1,['2016onto2'],['Greater Toronto Central Regional']
857,Superior Roboworks,2002,General Motors/Copper Country Robotics/Leoni Engineering Products and Services Inc./GS Engineering/Computer Mechanix/Koppers/Saavedra Family/DS Solidworks/State of Michigan/UPPCO/GLSV & Houghton Central High School,,Houghton,Michigan,USA,Spreading FIRST to the Ends of the Earth,2,"['2016miesc', '2016milak']","['FIM District - Escanaba Event', 'FIM District - Lakeview Event']"
858,Demons,2002,GE Aviation & Wyoming High School,,Wyoming,Michigan,USA,Team work will get it done,4,"['2016cur', '2016micmp', '2016miken', '2016misjo']","['Curie Division', 'Michigan State Championship', 'FIM District - East Kentwood Event', 'FIM District - St. Joseph Event']"
862,Lightning Robotics,2002,BOSCH / Jabil / Schuler / Continental / Ford & Canton High School & Plymouth High School & Salem High School,,Canton,Michigan,USA,STRIKE : Student leadership Teamwork Resilience Inspiration Knowledge Engagement,2,"['2016mista', '2016mitry']","['FIM District - Standish-Sterling Event', 'FIM District - Troy Event']"
865,WARP7,2002,Toronto District School Board / RL Solutions / Quantius Inc. / Superior Metal Fabricator Inc. / Porter Airlines / Next Level Projects / George Brown College & Western Technical-Commercial School,,Toronto,Ontario,Canada,,3,"['2016onnb', '2016onto2', '2016onwa']","['North Bay Regional', 'Greater Toronto Central Regional', 'Waterloo Regional ']"
867,Absolute Value,2002,Arcadia Unified School District/NASA JPL/Waste Management & Arcadia High,NASA,Arcadia,California,USA,Taking robotics to the Absolute Limit !,1,['2016calb'],['Los Angeles Regional']
868,TechHOUNDS,2002,Boeing/Delphi Foundation/Rolls Royce & Carmel High School,,Carmel,Indiana,USA,Invent the Future,5,"['2016cars', '2016incmp', '2016inwch', '2016inwla', '2016ohci']","['Carson Division', 'Indiana State Championship', 'IN District - Walker Warren Event', 'IN District - Tippecanoe Event', 'Queen City Regional']"
869,PowerCord,2002,Ansun Protective Metals / Micro / Veolia & Middlesex High School,,Middlesex,New Jersey,USA,We got the power!,5,"['2016hop', '2016mrcmp', '2016njbri', '2016njski', '2016njtab']","['Hopper Division', 'Mid-Atlantic Robotics District Championship', 'MAR District - Bridgewater-Raritan Event', 'MAR District - Montgomery Event', 'MAR District - Seneca Event']"
870,TEAM  R. I. C. E.  ,2002,"Southold UFSD / Miller Environmental / Bridgehampton National Bank / Michael Cavanagh / East End Cardiology, P.C. / Albertson Marine / Scott DeSimone / North Fork Sanitation, Inc. / SoundSide Landscaping, Inc. / SeaTow / Southold Town PBA / Southold IGA / Southold Agway / Hart's True Value Hardware / Mullen Motors / Southold ACE Hardware / Southold Fish Market / North Fork Welding / Roy Reeve Agency / Kolb Mechanical Corp / Ye Olde Party Shoppe, Inc. / We Can Do It Preschool! / Hampton Hearth / Creative Courses Catering, LLC / Southold Pharmacy / Styles Salon / Aerotech Publications / Southold Garden & Pet Supply, Inc. / Port of Eygpt Marina / Erik's of Southold & Southold Junior-Senior High School",,Southold,New York,USA,,3,"['2016gal', '2016nyli', '2016ohcl']","['Galileo Division', 'SBPLI Long Island Regional', 'Buckeye Regional']"
871,Robotechs,2002,"West Islip Robotics Booster Club, Inc./Motorola/Lockheed Martin/West Islip Country Fair/UL/EnerSys & West Islip Senior High School",,West Islip,New York,USA,Left over parts are proof you made it better,1,['2016nyli'],['SBPLI Long Island Regional']
876,Thunder Robotics,2002,ND Space Grant/John Deere/Brent Pederson/Phil and Trish Gisi/Dr. Mary Aaland/Aneta Whitetail/Msgt. Gary Kimball/Nrthwd Amer. Legion/Nrthwd Mens Club/Hatton Mens Club/Citizen's State Bank/Ed and Sue Lloyd/ND CTEd/Trail King Industries & Northwood High School & Hatton High School,,Hatton/Northwood,North Dakota,USA,"""Opportunities don't happen. You create them.""",3,"['2016cur', '2016ilpe', '2016mndu2']","['Curie Division', 'Central Illinois Regional', 'Northern Lights Regional']"
877,North Star,2002,UND Space Grant Consortium & North Star High School,,Cando,North Dakota,USA,"""We Can Do It""",1,['2016mndu2'],['Northern Lights Regional']
884,Mechanical Mules,2002,Malverne Senior High School,,Malverne,New York,USA,Every accomplishment starts with the decision to try,1,['2016nyli'],['SBPLI Long Island Regional']
885,THE GREEN TEAM,2002,Vermont Technical College/Neighborhood Group/NDEP/CRREL/GW Plastics & The Sharon Academy & Randolph Union High School,,Randolph Center,Vermont,USA,You can't get there from here,3,"['2016necmp', '2016nhdur', '2016nhgrs']","['New England District Championship', 'NE District - UNH Event', 'NE District - Granite State Event']"
886,Wildcats,2002,Toronto District School Board / Westview Centennial Secondary School / Rockwell Automation & Westview Centennial Secondary School,,North York,Ontario,Canada,Deficio Est Non An Bene,1,['2016onto2'],['Greater Toronto Central Regional']
888,Robotiators,2002,NASA Goddard / W.R.Grace / Howard County Public Schools & Glenelg High,NASA,Glenelg,Maryland,USA,,4,"['2016chcmp', '2016mdblr', '2016mdedg', '2016vahay']","['FIRST Chesapeake District Championship sponsored by Booz Allen Hamilton', 'CHS District - Northern Maryland Event', 'CHS District - Central Maryland Event', 'CHS District - Northern Virginia Event']"
894,Chargers,2002,Phillips Welding / General Motors / Flexible automation / Kettering University / Lil Ceasars / Mid State Bolt and Screw / CRE Weldinig & POWERS CATHOLIC HIGH SCHOOL,,Flint,Michigan,USA, ,2,"['2016mihow', '2016miket']","['FIM District - Howell Event', 'FIM District - Kettering University Event #1']"
900,♞The Zebracorns♞,2002,Qualcomm / United Therapeutics / IBM / Teleflex / Nvidia / Google / Lockheed Martin / Lenovo & North Carolina School of Science and Mathematics & Durham Public Schools & Local Home Schools,,Durham,North Carolina,USA,,4,"['2016ncbui', '2016nccmp', '2016ncral', '2016scmb']","['NC District - Campbell University/Johnston Community College Event', 'NC FIRST Robotics State Championship', 'NC District - Wake County Event', 'Palmetto Regional']"
904,D cubed,2002,Grand Rapids Public Schools / General Motors / Autodie LLC / BMWMotorcyclesGrandRapids / Steelcase / Gill Industries / FCA / Consumers Energy / PADNOS / State of Michigan & Central High School,,Grand Rapids,Michigan,USA,Desire times dedication times determination equals success,4,"['2016cars', '2016miesc', '2016miken', '2016misjo']","['Carson Division', 'FIM District - Escanaba Event', 'FIM District - East Kentwood Event', 'FIM District - St. Joseph Event']"
910,The Foley Freeze,2002,General Motors/FCA Foundation & Bishop Foley Catholic High School,,Madison Heights,Michigan,USA,"Spreading the Inspiration, Creativity and Enthusiasm",4,"['2016carv', '2016micen', '2016mitry', '2016onwi']","['Carver Division', 'FIM District - Center Line Event', 'FIM District - Troy Event', 'Windsor Essex Great Lakes Regional']"
919,Tiger Techs,2002,TDSB & Harbord Collegiate Institute,,Toronto,Ontario,Canada,Virtus Et Doctrina,1,['2016onto2'],['Greater Toronto Central Regional']
930,Mukwonago BEARs,2002,Touchpad Electronics/Joy Global/GE Volunteers/RTA Automation/Rockford Toolcraft/Milwaukee School of Engineering/Northwestern Mutual Life Foundation/PTC/UEI & Mukwonago High,,Mukwonago,Wisconsin,USA,Make it work,2,"['2016mndu2', '2016wimi']","['Northern Lights Regional', 'Wisconsin Regional']"
931,Perpetual Chaos,2002,"Ranken Technical College/Boeing/Rockwell Automation/Monsanto/Verizon/Belleville Kiwanis/WaterJet Tech/Bates Sales/Ethical Society/GKN Aerospace/Copper Bend Pharmacy/Hartwig, Inc./Tech Manufacturing/H.M. Dunn Aerospace/Saint Louis Public Schools & Gateway High",,St. Louis,Missouri,USA,Explore Robotics,2,"['2016ilch', '2016mosl']","['Midwest Regional', 'St. Louis Regional']"
932,Circuit Chargers,2002,TD Williamson / TRC Pipeline Services / Paragon Films / Refractory Testing and Inspection / Memorial Robotics Booster Club / Allied Fence Company / Knape Associates / DOD STEM / Allen & Associates / Tulsa Engineering Foundation / Instrument Society of America & Memorial Hs,,Tulsa,Oklahoma,USA,"Inspiring Today, Engineering Tomorrow",3,"['2016arlr', '2016gal', '2016okok']","['Arkansas Rock City Regional', 'Galileo Division', 'Oklahoma Regional ']"
935,RaileRobotics,2002,The Boeing Company/Higgs Tech Consulting/SRES/SME/James Allen & Newton Sr High,,Newton,Kansas,USA,Inspiration of today technology of tommorow,2,"['2016mokc', '2016okok']","['Greater Kansas City Regional', 'Oklahoma Regional ']"
937,Robo Tribe,2002,KC STEM Alliance/Clarcor Industrial Air/DeVry University/Garmin/Honeywell/Shawnee Mission North Booster Club/Lanmarx Graphix INC./Highwire Promotional Specialities/Homer Works/Shawnee Mission North PTSA/McDonald's Corporation/Cowtown Computer Congress of Kansas City/Ewing Marion Kaufmann Foundation/DST/Google Fiber/Black & Veatch/Burns & McDonnell/Cerner/US Engineering & SHAWNEE MISSION NORTH HIGH,,Overland Park,Kansas,USA,"Dream, Build, Succeed!",1,['2016mokc'],['Greater Kansas City Regional']
945,Team Banana,2002,Lockheed Martin / NEPD / Walt Disney World / Fluid Power Society & Colonial High,,Orlando,Florida,USA,We A Peel to All,2,"['2016alhu', '2016flor']","['Rocket City Regional', 'Orlando Regional']"
948,NRG (Newport Robotics Group),2002,The Boeing Company/Microsoft/Wicresoft/Bellevue Schools Foundation & Newport Senior High School,,Bellevue,Washington,USA,Team eNeRGy: We have awesome potential,2,"['2016waahs', '2016wamou']","['PNW District - Auburn Event', 'PNW District - Mount Vernon Event']"
949,Wolverine Robotics,2002,The Boeing Company/Intellectual Ventures/Microsoft Store/Microsoft & Bellevue High School,,Bellevue,Washington,USA,"It if doesn't work, hit it harder.",2,"['2016waamv', '2016wasno']","['PNW District - Auburn Mountainview Event', 'PNW District - Glacier Peak Event']"
955,CV Robotics,2002,Hytek Plastics / Solidworks / Oregon Department of Education / Linn-Benton Community College / Autodesk / CG Industries / Corvallis School District  & Crescent Valley High School,,Corvallis,Oregon,USA,Design to compete; compete to win,4,"['2016cur', '2016orphi', '2016orwil', '2016pncmp']","['Curie Division', 'PNW District - Philomath Event', 'PNW District - Wilsonville Event', 'Pacific Northwest District Championship sponsored by Autodesk']"
957,SWARM,2002,Viper Northwest / Central Electric Training Facility / Autodesk / Oregon Freeze Dry / Oregon Department of Education / ATI / Xtreme Grafx / National Frozen Foods / Concept Systems Inc / South Albany High School / Trademark Transmission & Auto Repair / Sheet Metal Solutions / Prestige Hardwood Flooring / Benton County Schools Credit Union / North Coast Electical / Carolyn Howard & West Albany High School,,Albany,Oregon,USA,South West Albany Robotic Maniacs,2,"['2016orphi', '2016orwil']","['PNW District - Philomath Event', 'PNW District - Wilsonville Event']"
967,Iron Lions,2002,"Rockwell Collins/Linn-Mar Booster Club/EHA/Iowa Fluid Power/Lindahl Marine Contractors, Inc./Linn-Mar Foundation/Conveyor Engineering/Bentley Manufacturing/Master Tool Mfg/D.A.D. Mfg Inc/Cargill/Verizon/Intermec/Linn County REC/CIPCO/McElroy Trust & Linn-Mar High School",,Marion,Iowa,USA,,2,"['2016iacf', '2016mnmi2']","['Iowa Regional', 'Minnesota North Star Regional']"
968,RAWC (Robotics Alliance Of West Covina),2002,Ride and Show Engineering/Central Powder Coating/Vivid-Hosting/RM Industries/Tennant Foundation & West Covina High,,West Covina,California,USA,,2,"['2016azpx', '2016calb']","['Arizona West Regional', 'Los Angeles Regional']"
971,Spartan Robotics,2002,"NASA Ames Research Center / Google / St. Jude Medical Foundation / Apple / Brin Wojcicki Foundation / Abbott Fund / NVIDIA / DSS SolidWorks / Mountain View High School PTSA / Auris Surgical Robotics / The Crispie Family / Intuitive Surgical / Creative Manufacturing Solutions / Screen-Tech / Group Manufacturing Services / Givmar Precision Machining / West Coast Products / RDC Machine / Whizz Systems, Inc. & Mountain View High",NASA,Mountain View,California,USA,"""If you wanna build robots, you've got to break a few small appliances""",3,"['2016cada', '2016casj', '2016hop']","['Sacramento Regional', 'Silicon Valley Regional presented by Google.org', 'Hopper Division']"
972,Iron Claw,2002,Iron Claw Team Families / Los Gatos High School New Millenium Foundation / Apple Inc. / Gene Haas Foundation / Qualcomm / Brin-Wojcicki Foundation / Intuitive Surgical / American Nuclear Society / GitHub / Cadence Design Systems / Home Depot / Alain Pinel Realtors - Los Gatos / Los Gatos ACE Hardware / Rural Supply Hardware & Los Gatos High,,Los Gatos,California,USA,,2,"['2016cama', '2016casj']","['Central Valley Regional', 'Silicon Valley Regional presented by Google.org']"
973,Greybots,2002,"Supercharged Science / Centers for Applied Competitive Technologies, College of the Canyon / IQMS / JLP Enterprises LLC / Janssen Youth and Youth Sports Fund / Pacific Gas & Electric / Atascadero AAUW, Inc. / Oak Country Lumber & Ranch / Cal Poly San Luis Obispo & Atascadero High & Atascadero Education Foundation, Inc.",,Atascadero,California,USA,"DESIGN,BUILD,COMPETE",3,"['2016cama', '2016cars', '2016cave']","['Central Valley Regional', 'Carson Division', 'Ventura Regional']"
977,Cometbots,2002,Halifax County High,,South Boston,Virginia,USA,"Knowledge, the final frontier.",3,"['2016chcmp', '2016vabla', '2016vados']","['FIRST Chesapeake District Championship sponsored by Booz Allen Hamilton', 'CHS District - Southwest Virginia Event', 'CHS District - Central Virginia Event']"
980,ThunderBots,2002,Walt Disney Imagineering / NASA-JPL / Boeing / Tweed Financial Services / Solutions for Automation / Lingua Machining Solutions / Neighbors Empowering Youth / C-Free Renew & FRC Team 980 ThunderBots,NASA,Sylmar,California,USA,Strive for Excellence!,3,"['2016arc', '2016calb', '2016cave']","['Archimedes Division', 'Los Angeles Regional', 'Ventura Regional']"
981,Snobotics,2002,NASA JPL/Boston Scientific/International Society of Automation & Frazier Mountain High,NASA,Lebec,California,USA,When we build a robot it snows!,1,['2016calb'],['Los Angeles Regional']
987,HIGHROLLERS,2002,Steve and Susan Philpott / Innovation First International / Purvis Industries / Bearing Belt Chain / Nevada YESCO LLC. / Albertsons / Lowes / Lenovo & Cimarron Memorial High School,,Las Vegas,Nevada,USA,"""It's not enough!""",5,"['2016azpx', '2016calb', '2016cmp', '2016gal', '2016nvlv']","['Arizona West Regional', 'Los Angeles Regional', 'Einstein Field', 'Galileo Division', 'Las Vegas Regional']"
988,Steel Phoenix,2002,Ed W. Clark High School / King Putt / STEM / C A Piggott MEM & Ed W Clark High School,,Las Vegas,Nevada,USA,Our team always rises from the ashes,1,['2016nvlv'],['Las Vegas Regional']
991,BroncoBotics,2002,Brophy College Preparatory,,Phoenix,Arizona,USA,Together to Create,2,"['2016azfl', '2016azpx']","['Arizona North Regional', 'Arizona West Regional']"
996,Mecha Knights,2002,Nissan Technical Center North America / Avnet / Abbott Fund & Casa Grande Union High School,,Casa Grande,Arizona,USA,"""Pass the duct tape!""",1,['2016azfl'],['Arizona North Regional']
997,Spartan Robotics,2002,NASA / Autodesk / Andrews-Cooper / First Tech Federal Credit Union / Royal T Manufacturing / King Machining / Ralph and Jean Eucher / Burchams metals / Knight Design / Nikon Precision / SolidWorks / Pastini's Pastaria & Corvallis High School,NASA,Corvallis,Oregon,USA,Incito Futuri,3,"['2016orphi', '2016orwil', '2016pncmp']","['PNW District - Philomath Event', 'PNW District - Wilsonville Event', 'Pacific Northwest District Championship sponsored by Autodesk']"
999,MechaRAMS,2002,Cheshire Public Schools/UTC & Cheshire High School,,Cheshire,Connecticut,USA,,5,"['2016arc', '2016cthar', '2016ctsc', '2016ctwat', '2016necmp']","['Archimedes Division', 'NE District - Hartford Event', 'Connecticut State Championship', 'NE District - Waterbury Event', 'New England District Championship']"
1002,The CircuitRunners,2003,"United Technologies-Automated Logic/GE Volunteers/Capitol Special Risks/Dell/Lockheed Martin/Cobb EMC/Ryobi/Home Depot/Farleo Design, Inc./Alcoa/CEISMC/Atlantis Waterjet/Sevaa Webgroup/Kennesaw State University/Center For Advanced Studies & Wheeler High School",,Marietta,Georgia,USA,Moving from Potential to Kinetic,3,"['2016gaalb', '2016gacmp', '2016gaken']","['PCH District - Albany Event', 'Peachtree District State Championship', 'PCH District - Kennesaw Event']"
1011,CRUSH,2003,Sigma Technologies / Raytheon / Mr. Brian Maki / Industrial Metal Supply / Cindy Bingham / Brian Cloutier / APEX Technologies / Honeywell / IBM / Hanlon Engineering & Associates / M3 Engineering / CAID Automation / Sunland Asphalt & Sealcoating & Sonoran Science Academy - Tucson,,Tucson,Arizona,USA,We Build More Than Robots!,3,"['2016azfl', '2016code', '2016hop']","['Arizona North Regional', 'Colorado Regional', 'Hopper Division']"
1014,Bad Robots,2003,American Electric Power / Roxane Labs / Dublin AM Rotary / Denso / OSU FIRST / Honda / Dublin Foundation / Dublin Robotics Boosters & Dublin Coffman High School & Dublin Scioto High School & Dublin Jerome High School,,Dublin,Ohio,USA,Pay It Forward,3,"['2016ohci', '2016ohcl', '2016ohsc']","['Queen City Regional', 'Buckeye Regional', 'Ohio FRC State Championship']"
1018,Pike RoboDevils,2003,Waterjet Cutting of Indiana / Rolls Royce / 3M / Beckman-Coulter / Indiana Department of Education & Pike High School,,Indianapolis,Indiana,USA,,3,"['2016incmp', '2016inpmh', '2016inwch']","['Indiana State Championship', 'IN District - Perry Meridian Event', 'IN District - Walker Warren Event']"
1023,Bedford Express,2003,Michigan Department of Education/Marathon Petroleum Company LP/ORT/DTE Energy Foundation/Heidtman Steel/Bill & Cheryl Sommers/RD Tool & Manufacturing/The Staley Family/Integration Partners & Bedford Senior High School,,Temperance,Michigan,USA,Engineers on Track,5,"['2016gal', '2016micmp', '2016miliv', '2016miwat', '2016paca']","['Galileo Division', 'Michigan State Championship', 'FIM District - Livonia Event', 'FIM District - Waterford Event', 'Greater Pittsburgh Regional']"
1024,Kil-A-Bytes,2003,MTD Products/Rolls-Royce Corporation/Indiana Department of Education & McKenzie Center for Innovation and Technology,,Indianapolis,Indiana,USA,,5,"['2016cars', '2016incmp', '2016inpmh', '2016inwch', '2016inwla']","['Carson Division', 'Indiana State Championship', 'IN District - Perry Meridian Event', 'IN District - Walker Warren Event', 'IN District - Tippecanoe Event']"
1025,IMPIS,2003,IMPI ROBOTICS / Schaeffler Group / FCA / FORD / Sapa / IBM / Garden Fresh Salsa / Ferndale School District / Ferndale PTA / Ferndale Education Foundation / jay-cee sales & rivet inc. & Ferndale High School,,Ferndale,Michigan,USA,Education is the most powerful weapon which you can use to change the world ,3,"['2016micmp', '2016mimar', '2016misou']","['Michigan State Championship', 'FIM District - Marysville Event', 'FIM District - Southfield Event']"
1027,Project Jabberwocky,2003,"Essential Power, LLC/Comcast & West Springfield High",,West Springfield,Massachusetts,USA,,2,"['2016ctwat', '2016manda']","['NE District - Waterbury Event', 'NE District - UMass-Dartmouth Event']"
1038,Thunderhawks,2003,"Kroger / Army ROTC / Noxsel-Waddell Foundation / Rockwell Automation / Alexander & Associates / Northrop Grumman Xetron / Cincinnati, Inc. / X-Tek / O'Brien Supply / Terraqua Club / HB2Web, LLC / Forest Fair Village / Lakota Robotics, LLC / Lakota Robotics Boosters & Lakota East High School & Lakota West High School & Neighborhood Group",,Liberty Township,Ohio,USA,We Are FIRST!,3,"['2016ilpe', '2016ohci', '2016ohsc']","['Central Illinois Regional', 'Queen City Regional', 'Ohio FRC State Championship']"
1051,Technical Terminators,2003,Florence-Darlington Technical College & Academy for Careers and Technology,,Marion,South Carolina,USA,,1,['2016scmb'],['Palmetto Regional']
1056,Hot Rocks,2003,Waiakea High Foundation / The Science Factory & Waiakea High School,,Hilo,Hawaii,USA,Don't finish last,1,['2016cada'],['Sacramento Regional']
1058,PVC Pirates,2003,Fleet Ready Corp. / BAE Systems / Show Ready Events / Dumpster Depot / JMD Industries / Veloxion / Willseal & Londonderry Senior High School,,Londonderry,New Hampshire,USA,You can't stop Team 1058,6,"['2016carv', '2016mabos', '2016marea', '2016necmp', '2016ripro', '2016week0']","['Carver Division', 'NE District - Boston Event', 'NE District - North Shore Event', 'New England District Championship', 'NE District - Rhode Island Event', 'Week 0']"
1065,The Moose,2003,Lockheed Martin/OHS School Advisory Committee/Walt Disney World Ride and Show Engineering/Mad Genius Controllers/Entech Creative/NuWind/Kowboy Engineering & Osceola High School,,Kissimmee,Florida,USA,The Moose is on the Loose,4,"['2016cmp', '2016flor', '2016flwp', '2016gal']","['Einstein Field', 'Orlando Regional', 'South Florida Regional ', 'Galileo Division']"
1071,Team Max,2003,UTC Sikorsky Aircraft & Wolcott High School,,Wolcott,Connecticut,USA,To The MAX,3,"['2016ctsc', '2016ctwat', '2016manda']","['Connecticut State Championship', 'NE District - Waterbury Event', 'NE District - UMass-Dartmouth Event']"
1072,Harker Robotics,2003,Harker Foundation/Gorilla Metals & the Harker School,,San Jose,California,USA,Learning Through Guided Experience,1,['2016cada'],['Sacramento Regional']
1073,The Force Team,2003,UTC / Waters Corporation / Parker Hannifin & Hollis-Brookline High School,,Hollis,New Hampshire,USA,Sanity is Optional,4,"['2016cur', '2016mabos', '2016marea', '2016week0']","['Curie Division', 'NE District - Boston Event', 'NE District - North Shore Event', 'Week 0']"
1075,Sprockets,2003,GM Canada / Marwood Metal fabricators / Ontario Power Generation & Sinclair Secondary School & Sinclair Secondary School,,Whitby,Ontario,Canada,Rock it like the Sprockets!,2,"['2016onto', '2016onwi']","['Greater Toronto East Regional ', 'Windsor Essex Great Lakes Regional']"
1076,Pi Hi Samurai,2003,Maker Works/MDOE/Ford/Interstate All Battery Center Ann Arbor/Asana/Meldium/Olark/Hatch Stamping Company  & Pioneer High School,,Ann Arbor,Michigan,USA,,2,"['2016mihow', '2016milak']","['FIM District - Howell Event', 'FIM District - Lakeview Event']"
1080,Resurgence Robotics,2003,FRC Hardship Grant/Flexicell/Showbest/The Lathrop Family/Solidworks/Catie Cain & East End Robotics,,Richmond,Virginia,USA,,2,"['2016vados', '2016vapor']","['CHS District - Central Virginia Event', 'CHS District - Hampton Roads Event']"
1086,Blue Cheese,2003,Powertrain Control Solutions/Watson Machine Corp/Midas of Richmond/Verizon Foundation/ShowBest Fixture Corp & Deep Run High,,Glen Allen,Virginia,USA,A Slice of FIRST,5,"['2016carv', '2016chcmp', '2016cmp', '2016vabla', '2016vados']","['Carver Division', 'FIRST Chesapeake District Championship sponsored by Booz Allen Hamilton', 'Einstein Field', 'CHS District - Southwest Virginia Event', 'CHS District - Central Virginia Event']"
1089,Team Mercury,2003,Bristol Myers-Squibb / nrg / East Windsor Regional School District / TRUMPF Photonics / Wizcom Corporation / Credit Suisse / J. Rupp Construction / Shiseido / East Windsor Dental Arts / East Windsor Education Association / DoD STEM & Hightstown High,,Hightstown,New Jersey,USA,The Team is what you make it,4,"['2016cur', '2016mrcmp', '2016njski', '2016njtab']","['Curie Division', 'Mid-Atlantic Robotics District Championship', 'MAR District - Montgomery Event', 'MAR District - Seneca Event']"
1091,Oriole Assault,2003,GE Volunteers/MSOE (Milwaukee School of Engineering/Quad Graphics/Mantz Automation & Hartford High,,Hartford,Wisconsin,USA,"It doesn’t have to look pretty, it just has to work.",2,"['2016ilpe', '2016wimi']","['Central Illinois Regional', 'Wisconsin Regional']"
1094,Channel Cats,2003,"The Boeing Company/Midwest Machine Tool Training Center/Boeing Employees Community Fund/Nidec Motor Corporation/Toyota/Ameren Missouri/DCS Holdings Group, LLC & River City Robots",,O'Fallon,Missouri,USA,Hooked on Technology,3,"['2016ilpe', '2016mosc', '2016mosl']","['Central Illinois Regional', 'Missouri Robotics State Championship', 'St. Louis Regional']"
1099,DiscoTechs,2003,UTC & Brookfield High School,,Brookfield,Connecticut,USA,To inspire people in our community to become excited about and engaged in STEM.,5,"['2016cthar', '2016ctsc', '2016ctwat', '2016necmp', '2016tes']","['NE District - Hartford Event', 'Connecticut State Championship', 'NE District - Waterbury Event', 'New England District Championship', 'Tesla Division']"
1100,The T-Hawks,2003,DOW / Boston Scientific / Intel / NDEP & Algonquin Reg High,,Northboro,Massachusetts,USA,Go Team1100!,3,"['2016mabos', '2016mawor', '2016necmp']","['NE District - Boston Event', 'NE District - WPI Event', 'New England District Championship']"
1102,Aiken County Robotics,2003,Savannah River Nuclear Solutions/Aiken County Public Schools & Aiken High,,Aiken,South Carolina,USA,"Together with FIRST, we are M'Aiken Magic happen",1,['2016scmb'],['Palmetto Regional']
1108,Panther Robotics,2003,City of Paola / Dean Scherman Memorial Fund / The Baehr Foundation / KC Power Source / National Instruments / Monsanto Fund / Kalmar Solutions & Paola High,,Paola,Kansas,USA,A Panther among robots is a most fearsome thing.,2,"['2016code', '2016mokc']","['Colorado Regional', 'Greater Kansas City Regional']"
1111,Power Hawks,2003,"The Power Hawks Robotics Club, Inc. / NASA / Anne Arundel County Public Schools / Microsoft / Inovex Information Systems / Leidos / Daly Computers / Dover Networks LLC / Earth Observation Technologies LLC / Koons Ford of Annapolis / Family Veterinary Clinic / Koons Toyota of Annapolis / Selby Bay Marina / NorthPoint Sign and Graphic Services / Hughes Remodeling LLC / Bayside Nissan of Annapolis / Commodore Mayo Kiwanis Club / Uni-Tech Collision Repair / Google / BIT Solutions / Pro-Air, Inc. / McCarter Welding / Systems Planning and Analysis, Inc. / Mike & Pat Meinhold / Michelle & Robert Phibbons / Brumby Contracting Inc. / Arundel Self Storage Annapolis & South River High",NASA,Edgewater,Maryland,USA,"""Soaring to success""",3,"['2016chcmp', '2016mdblr', '2016vahay']","['FIRST Chesapeake District Championship sponsored by Booz Allen Hamilton', 'CHS District - Northern Maryland Event', 'CHS District - Northern Virginia Event']"
1114,Simbotics,2003,Innovation First International/General Motors St. Catharines Powertrain & Governor Simcoe Secondary School,,St. Catharines,Ontario,Canada,Ball so hard,3,"['2016carv', '2016onto', '2016onwa']","['Carver Division', 'Greater Toronto East Regional ', 'Waterloo Regional ']"
1123,AIM Robotics,2003,"General Dynamics Mission Systems / The BUS, er, the mobile workshop / Booz Allen Hamilton / The Soter Group & Neighborhood Group",,Burke (open to all Fairfax & Loudoun County),Virginia,USA,At AIM we build in heavy metal,3,"['2016cur', '2016mdedg', '2016vahay']","['Curie Division', 'CHS District - Central Maryland Event', 'CHS District - Northern Virginia Event']"
1124,UberBots,2003,Avon Public Schools/UTC/OFS & Avon High School,,Avon,Connecticut,USA,We eat Kryptonite for breakfast!,6,"['2016cthar', '2016ctsc', '2016ctwat', '2016gal', '2016manda', '2016necmp']","['NE District - Hartford Event', 'Connecticut State Championship', 'NE District - Waterbury Event', 'Galileo Division', 'NE District - UMass-Dartmouth Event', 'New England District Championship']"
1126,SPARX,2003,Xerox Corporation & Webster-Schroeder High School & Thomas High School,,Webster,New York,USA,,3,"['2016cars', '2016nyro', '2016paca']","['Carson Division', 'Finger Lakes Regional ', 'Greater Pittsburgh Regional']"
1127,Lotus Robotics,2003,ViaSat/WIT/MB&R Engineering/TechTop & Milton High School,,Milton,Georgia,USA,We love robotics!,1,['2016gadal'],['PCH District - Dalton Event']
1137,Rocket Sauce,2003,Mathews High School/Mathews Community Foundation & Mathews High,,Mathews,Virginia,USA,"prepare for the worst,expect the best",4,"['2016cars', '2016chcmp', '2016mdedg', '2016vapor']","['Carson Division', 'FIRST Chesapeake District Championship sponsored by Booz Allen Hamilton', 'CHS District - Central Maryland Event', 'CHS District - Hampton Roads Event']"
